0,0,0
1,-12,-1
4,-24,-4
8,-37,-6
13,-50,-7
18,-64,-10
26,-78,-12
37,-92,-15
47,-107,-18
61,-121,-21
77,-135,-24
91,-148,-26
110,-158,-27
129,-167,-28
144,-174,-29
163,-179,-28
182,-179,-29
220,-177,-31
240,-174,-31
259,-168,-31
279,-162,-30
300,-150,-29
319,-137,-28
338,-125,-27
355,-109,-26
372,-90,-23
387,-68,-22
403,-47,-20
417,-22,-17
429,4,-14
449,61,-5
458,89,0
465,121,5
470,155,12
471,189,20
473,223,28
470,257,37
465,291,47
458,323,57
449,355,67
440,386,79
431,415,91
419,441,104
389,486,132
369,502,146
348,514,157
327,525,167
304,529,173
260,528,178
216,522,179
195,515,177
151,493,174
129,481,173
90,446,165
73,427,161
38,394,152
25,372,143
15,349,136
6,325,127
-1,300,119
-7,275,112
-14,250,105
-14,222,98
-18,198,92
-15,170,85
-15,145,79
-8,122,75
-3,99,67
2,78,59
12,59,54
22,40,46
32,22,39
46,7,33
56,-10,27
68,-25,23
80,-38,19
92,-50,15
104,-60,13
108,-71,10
120,-76,9
120,-73,12
131,-80,11
143,-88,11
