0,0,0
0,0,0
-1,0,0
-1,-1,0
0,0,-1
0,-1,-1
0,-2,-2
0,-3,-2
0,-5,-2
0,-6,-3
-1,-10,-3
-3,-12,-4
-5,-15,-5
-7,-19,-6
-10,-23,-7
-13,-27,-8
-16,-31,-8
-20,-36,-9
-25,-42,-9
-29,-47,-9
-35,-53,-9
-47,-65,-9
-64,-76,-9
-72,-82,-9
-91,-90,-9
-100,-94,-8
-122,-100,-7
-132,-103,-6
-142,-104,-5
-153,-105,-4
-163,-106,-2
-174,-105,0
-184,-104,1
-194,-102,3
-204,-100,5
-214,-96,7
-224,-92,10
-233,-88,12
-241,-82,15
-249,-75,18
-256,-69,20
-263,-62,23
-270,-54,26
-276,-45,29
-282,-36,32
-288,-27,35
-293,-17,38
-297,-7,40
-300,2,43
-304,13,46
-305,24,49
-306,35,51
-307,46,54
-307,58,56
-306,70,58
-306,82,59
-305,93,61
-302,104,63
-301,116,65
-296,126,66
-292,137,67
-288,147,69
-283,157,70
-278,166,71
-273,176,72
-266,184,72
-253,200,73
-238,214,74
-229,221,73
-211,231,73
-202,234,72
-194,238,71
-186,242,71
-177,245,70
-169,247,69
-160,249,68
-150,251,68
-132,252,65
-114,251,62
-106,250,61
-97,249,60
-88,246,58
-79,245,57
-70,242,55
-63,237,53
-56,234,51
-49,229,48
-43,224,46
-36,218,44
-29,212,42
-23,205,39
-17,198,37
-14,190,35
-10,182,32
-6,174,30
-3,166,27
-1,157,25
1,148,23
2,139,20
3,130,18
5,111,14
5,93,11
3,76,8
1,60,6
1,52,5
0,37,3
-1,30,3
-2,23,3
-3,17,2
-4,11,2
-5,6,3
-8,1,2
-9,-4,2
-11,-9,3
-12,-14,3
-12,-18,4
-12,-22,5
-11,-25,7
-11,-28,7
-11,-32,8
-12,-34,10
-13,-37,11
