0,0,0
-8,-5,-7
-16,-11,-13
-26,-18,-21
-39,-24,-31
-52,-32,-40
-64,-41,-48
-79,-53,-58
-98,-66,-69
-117,-81,-79
-138,-99,-88
-162,-116,-98
-189,-134,-108
-212,-149,-115
-233,-164,-120
-250,-177,-124
-274,-188,-128
-298,-199,-131
-317,-206,-132
-332,-210,-132
-343,-213,-131
-360,-216,-129
-376,-215,-129
-391,-213,-128
-405,-208,-126
-418,-195,-127
-435,-181,-128
-457,-166,-127
-481,-148,-126
-510,-128,-126
-544,-107,-124
-578,-87,-121
-614,-66,-116
-648,-45,-109
-678,-27,-101
-707,-8,-92
-733,12,-83
-759,31,-73
